"Time (s)", "Cart Acceleration (m/s/s)", "Cart Velocity (m/s)", "Cart Position (m)", "Pole Angular Acceleration (deg/s/s)", "Pole Angular Velocity (deg/s)", "Pole Angular Position (deg)"
0.01, 0.833333867643004, 0.0, 0.0, -4.905000136164365, 0.0, 1.570796
0.02, 0.833333867643004, 0.00833333867643004, 4.1666693382150196e-5, -4.905000136164365, -0.049050001361643655, -0.0002452500068082183
0.03, 0.9995185714631626, 0.010078519101395926, 0.00010120185794778075, -0.49855631943059386, -0.005476063207922375, -5.721313214730593e-5
0.04, 0.9998877464941108, 0.015149493983932602, 0.00022876043762820573, -0.4996632420157822, -0.007577089578355568, -0.0001145145406575431
0.05, 0.9997753172212508, 0.02029849622410367, 0.0004105451332346375, -0.4993259615122694, -0.010138061021812498, -0.00020505151124940082
0.060000000000000005, 0.9995976721102641, 0.025497404208359192, 0.0006476987335398458, -0.49879304789220047, -0.012723277722850325, -0.0003232082308524931
0.07, 0.9993658236871571, 0.030745896836865492, 0.0009418078671121602, -0.4980975493995209, -0.015324624813671138, -0.00046943499133570896
0.08, 0.9990788805514506, 0.03604386720859106, 0.0012944986276496129, -0.49723680668623804, -0.01793965010249682, -0.0006443179782841386
0.09, 0.9987356826077274, 0.04139118199265274, 0.001707427224812094, -0.49620735818385786, -0.02056588033145419, -0.0008484079323895331
0.09999999999999999, 0.998335137180444, 0.04678768436278935, 0.002182280021442065, -0.495005948531679, -0.023200732298840995, -0.0010822113104053737
0.10999999999999999, 0.9978762363176892, 0.05223319603402392, 0.002720773802773299, -0.49362958054398587, -0.025841515642141343, -0.0013461863476273356
0.11999999999999998, 0.997358064506627, 0.0577275193297358, 0.003324656122288, -0.4920755383551483, -0.028485437969850924, -0.0016407393374613041
0.12999999999999998, 0.9967798059949927, 0.0632704395194837, 0.003995705738506302, -0.4903414093190422, -0.03112961083733358, -0.0019662210104876925
0.13999999999999999, 0.9961407519518972, 0.06886172744563974, 0.004735733156969492, -0.4884251053577306, -0.03377105655267917, -0.0023229230416058452
0.15, 0.9954403074139022, 0.07450114244016794, 0.00554658129179962, -0.4863248835934975, -0.03640671581023236, -0.0027110747196286743
0.16, 0.994677997950436, 0.08018843552929529, 0.006430126261582118, -0.4840393660637671, -0.039033456140549955, -0.003130839814513397
0.17, 0.9938534759803603, 0.08592335292077245, 0.0073882783345883656, -0.4815675583130291, -0.04164808115628633, -0.003582313677663978
0.18000000000000002, 0.9929665266703006, 0.09170563976524122, 0.008422983038485515, -0.4789088666537483, -0.044247340563852953, -0.0040655206105289395
0.19000000000000003, 0.9920170733449649, 0.09753504417991855, 0.009536222449656368, -0.47606311388871914, -0.046827940900731495, -0.00458041153601344
0.20000000000000004, 0.9910051823402165, 0.10341132151941286, 0.010730016677061579, -0.4730305532906696, -0.04938655694818311, -0.005126862005998673
0.21000000000000005, 0.9899310672311946, 0.10933423887506077, 0.012006425555212238, -0.46981188064127316, -0.051919843758945636, -0.005704670576494431
0.22000000000000006, 0.9887950923703477, 0.11530357978076793, 0.01336755056027792, -0.4664082441412572, -0.054424449229521304, -0.0063135575796316535
0.23000000000000007, 0.9875977756739184, 0.12131914910001552, 0.014815536962632284, -0.46282125201606983, -0.056897027137015034, -0.006953164318831137
0.24000000000000007, 0.9863397906002047, 0.12738077806552536, 0.016352576228238137, -0.4590529776576118, -0.059334250551382105, -0.007623052710074524
0.25000000000000006, 0.9850219672688467, 0.1334883294401247, 0.017980908680203547, -0.4551059621618202, -0.061732825525584296, -0.008322705388279061
0.26000000000000006, 0.9836452926773978, 0.13964170276469035, 0.01970282643061174, -0.45098321414426473, -0.06408950495873114, -0.009051526293376277
0.2700000000000001, 0.9822109099795148, 0.1458408396567467, 0.021520676591356605, -0.4466882067412071, -0.06640110252099199, -0.009808841745867877
0.2800000000000001, 0.9807201167981594, 0.15208572912141238, 0.02343686477122382, -0.4422248717314955, -0.06866450652408583, -0.010593902016443753
0.2900000000000001, 0.9791743625571163, 0.15837641283499407, 0.02545385886487051, -0.4375975907448569, -0.07087669361765199, -0.011405883388773408
